t,action,dist,ata,p_alt,p_spd,p_hdg,p_roll,t_alt,t_spd,t_hdg,p_n,p_e
72.4,4,7901.135533504464,-108.30043092030758,10130.92610804159,186.7465020484171,118.44445789873353,-0.19359933870815818,3161.3182898598075,219.1645682866114,90.01373929525603,-3530.509848507517,14948.101344891338
72.5,4,7901.722674436289,-108.22379885493935,10139.4724313134,186.72077537691757,118.44389854249347,-0.192596099441806,3174.626382867551,218.59935166864247,90.10361578719832,-3539.403662365885,14964.519932439453
72.6,4,7902.492018807626,-108.13962765117847,10147.984453248462,186.69151620064486,118.4433734225592,-0.19158900989060318,3187.707952001068,218.01207625255182,90.11770738618338,-3548.295995937529,14980.936156031401
72.7,4,7903.438494806193,-108.06382998926222,10156.461532866875,186.667409936192,118.44281821614807,-0.19059629940892425,3200.555021384552,217.35959387545975,90.01654949151855,-3557.186938911389,14997.350183443208
72.8,4,7904.578345011107,-107.98045651697161,10164.904208290995,186.6397785921435,118.44229682035012,-0.1895998663748032,3213.1462769721957,216.78475140575657,90.14663091486693,-3566.076480210214,15013.76198915058
72.9,4,7905.920493697552,-107.90552292081907,10173.311838593147,186.61729563769882,118.44174569051505,-0.18861757768155885,3225.485799928406,216.162609093892,90.07237923648056,-3574.9647095209557,15030.171740919734
73.0,4,7907.470746087171,-107.82298676655162,10181.684963539848,186.59129478024303,118.44122795192827,-0.18763169147974157,3237.5461801212164,215.556686745229,90.06058893960663,-3583.85161587003,15046.579413492842
73.1,4,7909.254150743775,-107.7488396867713,10190.022942240894,186.5704379255014,118.44068082610639,-0.186659718682437,3249.311830192423,215.0159939511141,90.16387068481383,-3592.7372889418566,15062.985174625672
73.2,4,7911.268751548549,-107.66716881093971,10198.326316130806,186.54607020394963,118.44016667844996,-0.18568427076106722,3260.786276948011,214.4058616875057,90.04570837811256,-3601.621717866708,15079.388999326793
73.3,4,7913.520099911622,-107.59377927273047,10206.594444686134,186.52684810438313,118.4396226656862,-0.1847244728668437,3271.9496685042413,213.85562276313786,90.13711472147486,-3610.504992373204,15095.791055766138
73.4,4,7916.012966111825,-107.51289174516334,10214.82787106731,186.50412969978547,118.43910828612307,-0.18377110641332747,3282.8132879433006,213.3049968972404,90.12725558822251,-3619.3871013486983,15112.191320267642
73.5,4,7918.7462539072385,-107.44019959735049,10223.025951931519,186.4865541532304,118.43856219012582,-0.1828418524007964,3293.366449609745,212.72451273193445,90.06691723068367,-3628.2681339525875,15128.589961698548
73.6,4,7921.718495289725,-107.3599238927681,10231.189226424176,186.46548707440104,118.43804558361556,-0.18191381973789383,3303.6120921016845,212.18605837740822,90.17964138435816,-3637.1480790162645,15144.986956542547
