step,p0_N,p0_E,p0_D,p1_N,p1_E,p1_D,t0_N,t0_E,t0_D
328,-16703,3537,3376,-14876,-7816,1151,-15799,-2667,3312
329,-16754,3517,3374,-14940,-7809,1159,-15842,-2675,3314
330,-16805,3496,3372,-15005,-7803,1167,-15886,-2682,3314
331,-16856,3475,3370,-15070,-7796,1174,-15930,-2690,3313
332,-16906,3454,3368,-15134,-7790,1182,-15974,-2698,3311
333,-16956,3430,3366,-15199,-7783,1189,-16018,-2706,3308
334,-17006,3406,3363,-15264,-7776,1196,-16062,-2713,3304
335,-17054,3381,3361,-15328,-7770,1202,-16106,-2721,3299
336,-17104,3357,3359,-15393,-7763,1209,-16151,-2729,3293
337,-17153,3333,3358,-15458,-7756,1216,-16195,-2737,3285
338,-17202,3308,3356,-15523,-7749,1224,-16239,-2744,3277
339,-17251,3284,3354,-15587,-7742,1232,-16284,-2752,3268
340,-17300,3260,3351,-15651,-7735,1241,-16328,-2760,3257
341,-17350,3238,3348,-15715,-7727,1249,-16373,-2768,3246
342,-17399,3213,3345,-15779,-7719,1258,-16417,-2776,3233
343,-17448,3189,3341,-15843,-7712,1267,-16462,-2784,3219
344,-17497,3164,3338,-15907,-7704,1276,-16507,-2792,3204
345,-17545,3138,3334,-15970,-7696,1286,-16552,-2800,3189
346,-17594,3113,3331,-16034,-7689,1296,-16597,-2808,3172
347,-17642,3086,3328,-16097,-7682,1305,-16643,-2816,3154
348,-17690,3060,3324,-16160,-7674,1315,-16688,-2824,3135
349,-17739,3034,3320,-16223,-7667,1323,-16734,-2833,3115
350,-17787,3008,3316,-16286,-7660,1332,-16780,-2841,3094
351,-17836,2982,3312,-16349,-7651,1340,-16826,-2849,3071
352,-17884,2956,3308,-16412,-7643,1349,-16872,-2858,3048
353,-17932,2929,3303,-16474,-7634,1359,-16919,-2866,3024
354,-17980,2902,3299,-16537,-7624,1369,-16965,-2875,2999
355,-18028,2875,3294,-16599,-7612,1380,-17012,-2883,2974
356,-18075,2846,3290,-16661,-7602,1391,-17060,-2892,2949
357,-18122,2818,3286,-16722,-7590,1401,-17107,-2900,2924
358,-18169,2789,3282,-16784,-7577,1413,-17155,-2909,2899
359,-18216,2760,3278,-16845,-7564,1425,-17203,-2917,2875
360,-18263,2731,3274,-16907,-7550,1437,-17251,-2926,2852
361,-18310,2701,3269,-16968,-7537,1448,-17299,-2935,2830
362,-18358,2672,3265,-17029,-7524,1460,-17347,-2943,2809
363,-18404,2641,3261,-17091,-7510,1471,-17396,-2952,2789
364,-18451,2611,3256,-17152,-7498,1483,-17444,-2960,2769
365,-18497,2579,3252,-17213,-7485,1495,-17493,-2969,2750
366,-18543,2548,3248,-17275,-7472,1506,-17542,-2977,2733
367,-18590,2518,3245,-17336,-7459,1517,-17591,-2986,2716
368,-18636,2487,3241,-17397,-7446,1529,-17641,-2995,2700
369,-18682,2455,3238,-17458,-7433,1540,-17690,-3003,2685
370,-18727,2423,3234,-17519,-7420,1551,-17739,-3012,2671
371,-18772,2390,3232,-17580,-7407,1561,-17789,-3021,2658
372,-18817,2357,3229,-17641,-7394,1571,-17839,-3029,2646
373,-18862,2324,3227,-17702,-7380,1581,-17888,-3038,2634
374,-18907,2291,3225,-17763,-7367,1592,-17938,-3047,2624
375,-18951,2257,3223,-17824,-7354,1602,-17988,-3055,2615
376,-18996,2223,3221,-17885,-7341,1611,-18038,-3064,2606
377,-19041,2189,3219,-17946,-7327,1621,-18088,-3073,2599
378,-19086,2155,3216,-18007,-7314,1630,-18138,-3081,2593
379,-19130,2120,3214,-18068,-7301,1639,-18188,-3090,2588
380,-19175,2085,3212,-18129,-7288,1648,-18238,-3098,2583
381,-19219,2050,3210,-18190,-7275,1657,-18288,-3107,2580
382,-19264,2015,3208,-18251,-7262,1666,-18338,-3116,2578
383,-19308,1979,3206,-18312,-7248,1674,-18388,-3124,2577
384,-19352,1943,3204,-18373,-7236,1682,-18438,-3133,2577
385,-19395,1907,3203,-18434,-7223,1690,-18488,-3142,2577
386,-19439,1870,3202,-18495,-7210,1697,-18538,-3150,2579
387,-19483,1834,3201,-18556,-7197,1704,-18588,-3159,2581
388,-19526,1797,3201,-18617,-7183,1710,-18638,-3167,2585
389,-19570,1760,3201,-18678,-7170,1716,-18687,-3176,2589
390,-19613,1723,3201,-18740,-7156,1722,-18737,-3185,2595
391,-19656,1685,3201,-18801,-7143,1728,-18787,-3193,2601
392,-19698,1648,3202,-18862,-7129,1735,-18837,-3202,2609
393,-19740,1610,3204,-18924,-7116,1741,-18886,-3210,2618
394,-19782,1572,3207,-18985,-7103,1746,-18936,-3219,2627
395,-19824,1533,3210,-19046,-7090,1752,-18985,-3227,2638
396,-19866,1495,3213,-19107,-7076,1756,-19034,-3236,2649
397,-19907,1456,3217,-19169,-7063,1760,-19083,-3244,2662
398,-19949,1418,3221,-19231,-7050,1764,-19132,-3253,2675
399,-19990,1379,3225,-19292,-7036,1768,-19181,-3261,2689
400,-20032,1340,3230,-19354,-7022,1771,-19230,-3269,2705
401,-20073,1302,3234,-19416,-7008,1775,-19278,-3278,2721
402,-20114,1263,3238,-19478,-6994,1778,-19326,-3286,2738
403,-20155,1224,3243,-19541,-6980,1781,-19375,-3294,2756
404,-20196,1185,3247,-19603,-6966,1783,-19423,-3302,2775
405,-20238,1146,3250,-19665,-6951,1786,-19470,-3311,2795
406,-20279,1107,3253,-19728,-6937,1789,-19518,-3319,2815
407,-20321,1068,3256,-19791,-6923,1792,-19566,-3327,2837
